filename,gt_material,pred_material
226312_bone_#_35,bone,bone
29706_wicker_#_7,wicker,wicker
40344_wicker_#_13,wicker,wicker
34742_leather_#_44,leather,metal
178270_paper_#_37,paper,paper
42178_rubber_#_22,rubber,stone
231980_stone_#_24,stone,soil
198496_fur_#_17,fur,fur
23740_wax_#_34,wax,wax
34189_glass_#_39,glass,ceramic
28993_ceramic_#_21,ceramic,ceramic
225356_leather_#_22,leather,fabric
220533_soil_#_34,soil,concrete
212488_metal_#_13,metal,gemstone
56076_wax_#_16,wax,wax
223668_fur_#_1,fur,fur
196805_soil_#_25,soil,stone
208970_rubber_#_32,rubber,wicker
204197_foliage_#_15,foliage,foliage
214899_fur_#_34,fur,fur
212070_stone_#_22,stone,soil
42906_ceramic_#_5,ceramic,ceramic
222403_bone_#_23,bone,bone
23221_leather_#_36,leather,cardboard
54012_gemstone_#_38,gemstone,gemstone
56743_sponge_#_13,sponge,sponge
207988_fabric_#_37,fabric,foliage
227303_stone_#_7,stone,soil
210071_fur_#_46,fur,fur
56961_gemstone_#_26,gemstone,gemstone
39076_concrete_#_21,concrete,concrete
228458_paper_#_27,paper,paper
203229_bone_#_6,bone,bone
27057_concrete_#_1,concrete,stone
41011_ceramic_#_27,ceramic,ceramic
34280_metal_#_35,metal,metal
29156_ceramic_#_20,ceramic,ceramic
44786_leather_#_30,leather,fabric
223254_metal_#_8,metal,rubber
52692_sponge_#_17,sponge,sponge
226312_bone_#_33,bone,bone
127388_plastic_#_49,plastic,rubber
42049_bone_#_29,bone,bone
35623_sponge_#_21,sponge,sponge
50786_sponge_#_20,sponge,sponge
23622_metal_#_38,metal,metal
202387_bone_#_48,bone,bone
197306_concrete_#_8,concrete,stone
198706_bone_#_11,bone,wicker
208196_paper_#_2,paper,paper
217656_concrete_#_30,concrete,concrete
204323_bone_#_4,bone,bone
213552_foliage_#_17,foliage,foliage
231904_soil_#_46,soil,concrete
209937_fur_#_4,fur,stone
204585_sponge_#_14,sponge,leather
51042_wax_#_13,wax,wax
40911_wood_#_17,wood,wood
210565_paper_#_17,paper,plastic
55670_wood_#_25,wood,wood
41519_leather_#_0,leather,leather
223782_fur_#_10,fur,glass
26031_gemstone_#_13,gemstone,gemstone
224902_fur_#_39,fur,fur
198895_stone_#_11,stone,soil
98294_wicker_#_5,wicker,wicker
34492_leather_#_45,leather,leather
51865_leather_#_27,leather,leather
202473_soil_#_40,soil,soil
219483_ceramic_#_39,ceramic,ceramic
40995_wicker_#_16,wicker,wicker
215082_foliage_#_6,foliage,foliage
230777_soil_#_30,soil,stone
59180_wood_#_2,wood,wood
221799_soil_#_38,soil,bone
53514_leather_#_32,leather,leather
53829_sponge_#_44,sponge,gemstone
27342_plastic_#_23,plastic,plastic
218706_foliage_#_38,foliage,foliage
160204_wax_#_11,wax,wax
58040_cardboard_#_20,cardboard,cardboard
208194_plastic_#_9,plastic,paper
215246_paper_#_4,paper,plastic
44751_ceramic_#_38,ceramic,ceramic
